"reviewNumber","imageId","registryStatus","projectSlug","siteRelativePath","siteFilename","cameraCode","choice","selectedCandidate","selectedRawPath","note"
"001","imgreg-000001","resolved","000 - unusuall_usual","src/projects/000 - unusuall_usual/01__DSC_1017.jpg","01__DSC_1017.jpg","DSC_1017","A","A","D:\RAW\2019\02 februar 2019\DSC_1017.NEF","Default approved RAW candidate A."
"002","imgreg-000002","resolved","000 - unusuall_usual","src/projects/000 - unusuall_usual/02__DSC_2785.jpg","02__DSC_2785.jpg","DSC_2785","N","","","User marked no RAW match."
"003","imgreg-000003","resolved","000 - unusuall_usual","src/projects/000 - unusuall_usual/03.jpg","03.jpg","DSC_8701","A","A","","Default approved RAW candidate A."
"004","imgreg-000004","resolved","000 - unusuall_usual","src/projects/000 - unusuall_usual/04__IMG_4585.jpg","04__IMG_4585.jpg","IMG_4585","A","A","","Default approved RAW candidate A."
"005","imgreg-000005","resolved","000 - unusuall_usual","src/projects/000 - unusuall_usual/05__DSC_4934.jpg","05__DSC_4934.jpg","DSC_4934","A","A","D:\RAW\2017\4.2.17 lub lab joker, nazi cross, smoking, r2d2, sonia,\DSC_4934.NEF","Default approved RAW candidate A."
"006","imgreg-000006","resolved","000 - unusuall_usual","src/projects/000 - unusuall_usual/06__DSC_0019.jpg","06__DSC_0019.jpg","DSC_0019","C","C","D:\RAW\2017\DNG\DSC_0019 kursa cat 001.dng","User approved a non-default RAW candidate."
"007","imgreg-000007","resolved","000 - unusuall_usual","src/projects/000 - unusuall_usual/07__DSC_1776.jpg","07__DSC_1776.jpg","DSC_1776","A","A","D:\RAW\2017\23-1-17\DSC_1776 ulotka cigarate.NEF","Default approved RAW candidate A."
"008","imgreg-000008","resolved","000 - unusuall_usual","src/projects/000 - unusuall_usual/08.jpg","08.jpg","DSC_9719","A","A","D:\RAW\2017\04 april 25,2017 u marta tanc priest michal lot moon  mozart jesus\DSC_9719.NEF","Default approved RAW candidate A."
"009","imgreg-000009","resolved","000 - unusuall_usual","src/projects/000 - unusuall_usual/09__DSC_0961.jpg","09__DSC_0961.jpg","DSC_0961","A","A","D:\RAW\100D3300\DSC_0961 BROKEN EGGS.NEF","Default approved RAW candidate A."
"010","imgreg-000010","resolved","000 - unusuall_usual","src/projects/000 - unusuall_usual/10__DSC_6236.jpg","10__DSC_6236.jpg","DSC_6236","A","A","","Default approved RAW candidate A."
"011","imgreg-000011","resolved","000 - unusuall_usual","src/projects/000 - unusuall_usual/11__DSC_5703.jpg","11__DSC_5703.jpg","DSC_5703","N","","","User marked no RAW match."
"012","imgreg-000012","resolved","000 - unusuall_usual","src/projects/000 - unusuall_usual/12__DSC_0629.jpg","12__DSC_0629.jpg","DSC_0629","A","A","D:\RAW\2018\02 - Februar 2018\DSC_0629.NEF","Default approved RAW candidate A."
