reviewId,reviewNumber,projectSlug,currentSitePath,currentSiteFilename,manualCameraCode
R-002,002,000 - unusuall_usual,src/projects/000 - unusuall_usual/26.jpg,26.jpg,DSC_3773
R-008,008,003 - demon_stration,src/projects/003 - demon_stration/24.jpg,24.jpg,DSC_0382
R-010,010,004 - windows_eyes_of_the_modern_soul,src/projects/004 - windows_eyes_of_the_modern_soul/03.jpg,03.jpg,DSC_01931
R-017,017,008 - arty,src/projects/008 - arty/001.jpg,001.jpg,DSC_9544
R-018,018,009 - KING NO SMO,src/projects/009 - KING NO SMO/05.jpg,05.jpg,DSC_2925
R-019,019,009 - KING NO SMO,src/projects/009 - KING NO SMO/06.jpg,06.jpg,DSC_2934
R-038,038,015 - brain blow,src/projects/015 - brain blow/12.jpg,12.jpg,PHONERAINBOW
R-045,045,019 - quite handy,src/projects/019 - quite handy/14.jpg,14.jpg,DSC_2968
R-047,047,020 - quite fency,src/projects/020 - quite fency/08.jpg,08.jpg,DSC_3565
R-048,048,020 - quite fency,src/projects/020 - quite fency/18.jpg,18.jpg,DSC_0784
R-049,049,021 - Shadows,src/projects/021 - Shadows/07.jpg,07.jpg,DSC_0459
